ID,分類,名称,問題供給,難易度運用,スマホプレイ,導入判断,詳細
PUZZLE-077,トランプ・牌系,神経衰弱,未確認,未確認,未確認,未判断,
PUZZLE-078,詰将棋・チェス・囲碁系,詰将棋,未確認,未確認,未確認,未判断,
PUZZLE-079,詰将棋・チェス・囲碁系,チェスのN手詰め,未確認,未確認,未確認,未判断,
PUZZLE-080,詰将棋・チェス・囲碁系,チェス戦術問題,未確認,未確認,未確認,未判断,
PUZZLE-081,詰将棋・チェス・囲碁系,詰碁,未確認,未確認,未確認,未判断,
PUZZLE-082,詰将棋・チェス・囲碁系,オセロ終盤問題,未確認,未確認,未確認,未判断,
PUZZLE-083,詰将棋・チェス・囲碁系,チェッカー終盤,未確認,未確認,未確認,未判断,
PUZZLE-084,物理・空間系,タングラム,未確認,未確認,未確認,未判断,
PUZZLE-085,物理・空間系,ジグソーパズル,未確認,未確認,未確認,未判断,
PUZZLE-086,物理・空間系,ブロック配置,未確認,未確認,未確認,未判断,
PUZZLE-087,物理・空間系,詰め込みパズル,未確認,未確認,未確認,未判断,
PUZZLE-088,物理・空間系,マッチ棒パズル,未確認,未確認,未確認,未判断,
PUZZLE-089,物理・空間系,ピン抜き,未確認,未確認,未確認,未判断,
PUZZLE-090,物理・空間系,ロープほどき,未確認,未確認,未確認,未判断,
PUZZLE-091,物理・空間系,ネジ外し系,未確認,未確認,未確認,未判断,
PUZZLE-092,物理・空間系,物理ボール系,未確認,未確認,未確認,未判断,
